City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,adelia maria,-33.6315,-64.021,25.36,24,0,3.58,AR,1697315007
83,iqaluit,63.7506,-68.5145,0.85,74,40,4.63,CA,1697314726
84,hithadhoo,-0.6,73.0833,27.32,74,30,3.37,MV,1697315007
85,tura,25.5198,90.2201,20.3,82,0,1.39,IN,1697314850
86,yasnyy,51.0333,59.8742,5.01,84,58,4.0,RU,1697315009
87,mao,39.8885,4.2658,21.31,94,20,2.06,ES,1697315009
88,qaqortoq,60.7167,-46.0333,4.83,59,23,2.22,GL,1697314754
89,soio,-6.1349,12.3689,25.21,82,75,4.32,AO,1697315009
90,pampas,-12.4,-74.9,16.3,55,100,4.73,PE,1697315010
91,nouadhibou,20.931,-17.0347,27.99,69,2,5.66,MR,1697315010
92,kone,-21.0595,164.8658,23.17,83,36,1.77,NC,1697314796
93,hadibu,12.65,54.0333,27.29,79,51,2.95,YE,1697315011
94,dumfries,38.5676,-77.328,16.68,90,100,1.54,US,1697314757
95,st. john's,47.5649,-52.7093,12.31,98,100,6.17,CA,1697314869
96,arraial do cabo,-22.9661,-42.0278,21.98,78,100,5.14,BR,1697315012
97,polyarnyy,69.1989,33.4478,1.86,82,100,9.94,RU,1697315013
98,haiku-pauwela,20.9219,-156.3051,27.8,69,20,5.14,US,1697315013
99,urcos,-13.6861,-71.6228,19.94,50,86,3.63,PE,1697315013
100,punta arenas,-53.15,-70.9167,10.06,46,75,14.92,CL,1697315014
101,tosontsengel,48.7567,98.2839,4.23,59,96,1.16,MN,1697315014
102,anadyr,64.75,177.4833,0.28,80,100,3.0,RU,1697315014
103,tlapehuala,18.2167,-100.5167,31.64,65,75,0.29,MX,1697315014
104,beledweyne,4.7358,45.2036,28.98,62,80,6.8,SO,1697315016
105,enewetak,11.3474,162.3373,28.35,73,58,2.83,MH,1697315016
106,umatilla,45.5001,-118.5014,16.77,44,20,0.0,US,1697315016
107,mount gambier,-37.8333,140.7667,9.4,95,100,1.91,AU,1697314857
108,puerto aysen,-45.4,-72.7,10.26,88,98,1.96,CL,1697315016
109,lautoka,-17.6167,177.4667,26.92,74,75,1.54,FJ,1697315016
110,sao bento,-6.2833,-37.75,34.04,24,73,2.45,BR,1697315017
111,jamestown,42.097,-79.2353,8.77,95,100,5.14,US,1697314824
112,pitimbu,-7.4706,-34.8086,27.33,65,99,5.61,BR,1697315017
113,luderitz,-26.6481,15.1594,14.52,86,78,3.99,NA,1697315017
114,olonkinbyen,70.9221,-8.7187,-2.03,87,99,9.35,SJ,1697315017
115,puerto ayora,-0.7393,-90.3518,29.98,88,60,3.13,EC,1697315018
116,thompson,55.7435,-97.8558,15.09,55,20,2.06,CA,1697315018
